NodeType,MIMversion,MO,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5
MSRBS-V2,17B-V14,EUtranCellRelation,65,194,389,777,
,,UtranCellRelation,32,97,194,389,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,16A-V18,EUtranCellRelation,61,182,363,726,
,,UtranCellRelation,30,89,179,357,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17B-RUI-V5,EUtranCellRelation,65,194,389,777,
,,UtranCellRelation,32,97,194,389,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17A-V10,EUtranCellRelation,65,196,391,782,
,,UtranCellRelation,33,98,196,391,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,16B-V13,EUtranCellRelation,56,168,334,669,
,,UtranCellRelation,31,93,185,369,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17-Q3-V1,EUtranCellRelation,65,194,389,777,
,,UtranCellRelation,32,97,194,389,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17-Q3-V2,EUtranCellRelation,65,194,389,777,
,,UtranCellRelation,32,97,194,389,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,17B-RUI-V4,EUtranCellRelation,65,194,389,777,
,,UtranCellRelation,32,97,194,389,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,18-Q4-RUI-V4,EUtranCellRelation,290,390,450,500,
,,UtranCellRelation,150,220,280,320,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
MSRBS-V2,18-Q3-V4,EUtranCellRelation,300,400,480,550,
,,UtranCellRelation,140,225,300,360,
,,Cdma20001xRttCellRelation,0,0,0,0,
,,GeranCellRelation,1,3,6,12,
,,UtranFreqRelation,1,1,1,1,
